education,sex,hours-per-week,race,age,occupation,marital-status,education-num,fnlwgt,capital-loss,relationship,workclass,capital-gain,income
Bachelors,Male,40,White,39,Adm-clerical,Never-married,13,77516,0,Not-in-family,State-gov,2174,<=50K
Bachelors,Male,13,White,50,Exec-managerial,Married-civ-spouse,13,83311,0,Husband,Self-emp-not-inc,0,<=50K
HS-grad,Male,40,White,38,Handlers-cleaners,Divorced,9,215646,0,Not-in-family,Private,0,<=50K
11th,Male,40,Black,53,Handlers-cleaners,Married-civ-spouse,7,234721,0,Husband,Private,0,<=50K
Masters,Female,40,White,37,Exec-managerial,Married-civ-spouse,14,284582,0,Wife,Private,0,<=50K
HS-grad,Male,45,White,52,Exec-managerial,Married-civ-spouse,9,209642,0,Husband,Self-emp-not-inc,0,>50K
Masters,Female,50,White,31,Prof-specialty,Never-married,14,45781,0,Not-in-family,Private,14084,>50K
Bachelors,Male,40,White,42,Exec-managerial,Married-civ-spouse,13,159449,0,Husband,Private,5178,>50K
Some-college,Male,80,Black,37,Exec-managerial,Married-civ-spouse,10,280464,0,Husband,Private,0,>50K
Bachelors,Female,30,White,23,Adm-clerical,Never-married,13,122272,0,Own-child,Private,0,<=50K
Assoc-acdm,Male,50,Black,32,Sales,Never-married,12,205019,0,Not-in-family,Private,0,<=50K
HS-grad,Male,35,White,25,Farming-fishing,Never-married,9,176756,0,Own-child,Self-emp-not-inc,0,<=50K
HS-grad,Male,40,White,32,Machine-op-inspct,Never-married,9,186824,0,Unmarried,Private,0,<=50K
11th,Male,50,White,38,Sales,Married-civ-spouse,7,28887,0,Husband,Private,0,<=50K
Masters,Female,45,White,43,Exec-managerial,Divorced,14,292175,0,Unmarried,Self-emp-not-inc,0,>50K
Doctorate,Male,60,White,40,Prof-specialty,Married-civ-spouse,16,193524,0,Husband,Private,0,>50K
HS-grad,Female,20,Black,54,Other-service,Separated,9,302146,0,Unmarried,Private,0,<=50K
9th,Male,40,Black,35,Farming-fishing,Married-civ-spouse,5,76845,0,Husband,Federal-gov,0,<=50K
11th,Male,40,White,43,Transport-moving,Married-civ-spouse,7,117037,2042,Husband,Private,0,<=50K
HS-grad,Female,40,White,59,Tech-support,Divorced,9,109015,0,Unmarried,Private,0,<=50K
Bachelors,Male,40,White,56,Tech-support,Married-civ-spouse,13,216851,0,Husband,Local-gov,0,>50K
HS-grad,Male,40,White,19,Craft-repair,Never-married,9,168294,0,Own-child,Private,0,<=50K
HS-grad,Male,80,White,39,Exec-managerial,Divorced,9,367260,0,Not-in-family,Private,0,<=50K
HS-grad,Male,40,White,49,Craft-repair,Married-civ-spouse,9,193366,0,Husband,Private,0,<=50K
Assoc-acdm,Male,52,White,23,Protective-serv,Never-married,12,190709,0,Not-in-family,Local-gov,0,<=50K
Some-college,Male,44,Black,20,Sales,Never-married,10,266015,0,Own-child,Private,0,<=50K
Bachelors,Male,40,White,45,Exec-managerial,Divorced,13,386940,1408,Own-child,Private,0,<=50K
Some-college,Male,40,White,30,Adm-clerical,Married-civ-spouse,10,59951,0,Own-child,Federal-gov,0,<=50K
Some-college,Male,15,Black,22,Other-service,Married-civ-spouse,10,311512,0,Husband,State-gov,0,<=50K
Some-college,Male,40,White,21,Machine-op-inspct,Never-married,10,197200,0,Own-child,Private,0,<=50K
HS-grad,Female,25,White,19,Adm-clerical,Married-AF-spouse,9,544091,0,Wife,Private,0,<=50K
Assoc-acdm,Male,40,White,48,Prof-specialty,Married-civ-spouse,12,265477,0,Husband,Self-emp-not-inc,0,<=50K
9th,Male,43,White,31,Machine-op-inspct,Married-civ-spouse,5,507875,0,Husband,Private,0,<=50K
Bachelors,Male,40,White,53,Prof-specialty,Married-civ-spouse,13,88506,0,Husband,Self-emp-not-inc,0,<=50K
Bachelors,Male,50,White,24,Tech-support,Married-civ-spouse,13,172987,0,Husband,Private,0,<=50K
HS-grad,Female,40,White,49,Adm-clerical,Separated,9,94638,0,Unmarried,Private,0,<=50K
HS-grad,Male,35,White,25,Handlers-cleaners,Never-married,9,289980,0,Not-in-family,Private,0,<=50K
Bachelors,Male,40,Black,57,Prof-specialty,Married-civ-spouse,13,337895,0,Husband,Federal-gov,0,>50K
HS-grad,Male,38,White,53,Machine-op-inspct,Married-civ-spouse,9,144361,0,Husband,Private,0,<=50K
Masters,Female,40,White,44,Exec-managerial,Divorced,14,128354,0,Unmarried,Private,0,<=50K
Assoc-voc,Male,40,White,41,Craft-repair,Married-civ-spouse,11,101603,0,Husband,State-gov,0,<=50K
Assoc-voc,Male,43,White,29,Prof-specialty,Never-married,11,271466,0,Not-in-family,Private,0,<=50K
Some-college,Female,40,Other,25,Exec-managerial,Married-civ-spouse,10,32275,0,Wife,Private,0,<=50K
Bachelors,Male,55,White,50,Exec-managerial,Divorced,13,251585,0,Not-in-family,Federal-gov,0,>50K
HS-grad,Male,60,White,47,Exec-managerial,Divorced,9,109832,0,Not-in-family,Self-emp-inc,0,<=50K
Some-college,Male,40,White,43,Tech-support,Married-civ-spouse,10,237993,0,Husband,Private,0,>50K
HS-grad,Male,48,White,41,Adm-clerical,Married-civ-spouse,9,147372,0,Husband,Private,0,<=50K
HS-grad,Male,40,White,30,Machine-op-inspct,Married-civ-spouse,9,188146,0,Husband,Private,5013,<=50K
Bachelors,Male,40,White,30,Sales,Married-civ-spouse,13,59496,0,Husband,Private,2407,<=50K
HS-grad,Male,40,White,48,Transport-moving,Married-civ-spouse,9,149640,0,Husband,Private,0,<=50K
Doctorate,Male,45,White,42,Prof-specialty,Married-civ-spouse,16,116632,0,Husband,Private,0,>50K
Some-college,Male,58,White,29,Tech-support,Divorced,10,105598,0,Not-in-family,Private,0,<=50K
HS-grad,Male,40,White,36,Craft-repair,Married-civ-spouse,9,155537,0,Husband,Private,0,<=50K
Some-college,Female,40,White,28,Adm-clerical,Divorced,10,183175,0,Not-in-family,Private,0,<=50K
HS-grad,Female,40,White,53,Adm-clerical,Married-civ-spouse,9,169846,0,Wife,Private,0,>50K
Some-college,Male,50,White,49,Exec-managerial,Married-civ-spouse,10,191681,0,Husband,Self-emp-inc,0,>50K
Some-college,Male,32,White,19,Prof-specialty,Never-married,10,101509,0,Own-child,Private,0,<=50K
Bachelors,Female,40,Black,31,Sales,Separated,13,309974,0,Own-child,Private,0,<=50K
Bachelors,Male,70,White,29,Sales,Married-civ-spouse,13,162298,0,Husband,Self-emp-not-inc,0,>50K
Some-college,Male,40,White,23,Machine-op-inspct,Never-married,10,211678,0,Not-in-family,Private,0,<=50K
Some-college,Male,20,White,79,Prof-specialty,Married-civ-spouse,10,124744,0,Other-relative,Private,0,<=50K
Assoc-acdm,Male,40,White,40,Adm-clerical,Married-civ-spouse,12,32214,0,Husband,Private,0,<=50K
11th,Female,22,White,18,Other-service,Never-married,7,309634,0,Own-child,Private,0,<=50K
7th-8th,Male,40,White,31,Farming-fishing,Married-civ-spouse,4,125927,0,Husband,Local-gov,0,<=50K
HS-grad,Male,30,White,18,Sales,Never-married,9,446839,0,Not-in-family,Private,0,<=50K
HS-grad,Female,40,White,46,Other-service,Married-civ-spouse,9,51618,0,Wife,Private,0,<=50K
HS-grad,Male,48,White,59,Sales,Married-civ-spouse,9,159937,0,Husband,Private,0,<=50K
HS-grad,Female,40,White,44,Craft-repair,Divorced,9,343591,0,Not-in-family,Private,14344,>50K
HS-grad,Female,35,White,53,Sales,Divorced,9,346253,0,Own-child,Private,0,<=50K
HS-grad,Male,40,White,49,Protective-serv,Married-civ-spouse,9,268234,0,Husband,Local-gov,0,>50K
Masters,Male,50,White,33,Prof-specialty,Married-civ-spouse,14,202051,0,Husband,Private,0,<=50K
9th,Male,40,White,30,Sales,Never-married,5,54334,0,Not-in-family,Private,0,<=50K
Doctorate,Female,50,White,43,Prof-specialty,Never-married,16,410867,0,Not-in-family,Federal-gov,0,>50K
Assoc-voc,Male,40,White,57,Prof-specialty,Married-civ-spouse,11,249977,0,Husband,Private,0,<=50K
Some-college,Female,40,White,37,Craft-repair,Divorced,10,286730,0,Unmarried,Private,0,<=50K
Some-college,Female,25,Black,28,Machine-op-inspct,Divorced,10,212563,0,Unmarried,Private,0,<=50K
Bachelors,Male,40,White,34,Protective-serv,Married-civ-spouse,13,226296,0,Husband,Local-gov,0,>50K
Some-college,Male,50,White,29,Handlers-cleaners,Never-married,10,115585,0,Not-in-family,Local-gov,0,<=50K
Doctorate,Male,60,White,48,Prof-specialty,Married-civ-spouse,16,191277,1902,Husband,Self-emp-not-inc,0,>50K
Some-college,Male,48,White,37,Sales,Married-civ-spouse,10,202683,0,Husband,Private,0,>50K
HS-grad,Male,40,Black,32,Other-service,Never-married,9,249409,0,Own-child,Federal-gov,0,<=50K
Masters,Male,40,White,76,Exec-managerial,Married-civ-spouse,14,124191,0,Husband,Private,0,>50K
Bachelors,Male,60,White,44,Exec-managerial,Married-civ-spouse,13,198282,0,Husband,Private,15024,>50K
Masters,Female,50,White,47,Prof-specialty,Never-married,14,149116,0,Not-in-family,Self-emp-not-inc,0,<=50K
Some-college,Female,40,White,20,Tech-support,Never-married,10,188300,0,Own-child,Private,0,<=50K
HS-grad,Male,40,White,29,Craft-repair,Never-married,9,103432,0,Not-in-family,Private,0,<=50K
HS-grad,Male,40,White,32,Craft-repair,Married-civ-spouse,9,317660,0,Husband,Self-emp-inc,7688,>50K
11th,Male,40,White,30,Handlers-cleaners,Never-married,7,194901,0,Own-child,Private,0,<=50K
HS-grad,Female,40,White,31,Adm-clerical,Never-married,9,189265,0,Not-in-family,Local-gov,0,<=50K
HS-grad,Male,40,White,42,Handlers-cleaners,Married-civ-spouse,9,124692,0,Husband,Private,0,<=50K
Bachelors,Male,40,White,24,Sales,Never-married,13,432376,0,Other-relative,Private,0,<=50K
Prof-school,Male,40,White,38,Prof-specialty,Married-civ-spouse,15,65324,0,Husband,Private,0,>50K
Some-college,Female,25,White,28,Sales,Married-civ-spouse,10,377869,0,Wife,Private,4064,<=50K
HS-grad,Female,40,White,36,Machine-op-inspct,Never-married,9,102864,0,Own-child,Private,0,<=50K
9th,Male,50,White,53,Handlers-cleaners,Married-civ-spouse,5,95647,0,Husband,Private,0,<=50K
Some-college,Male,50,White,56,Sales,Married-civ-spouse,10,303090,0,Husband,Self-emp-inc,0,<=50K
Assoc-voc,Male,40,Black,49,Craft-repair,Married-civ-spouse,11,197371,0,Husband,Local-gov,0,>50K
Some-college,Male,56,White,55,Sales,Married-civ-spouse,10,247552,0,Husband,Private,0,<=50K
HS-grad,Male,41,White,22,Craft-repair,Never-married,9,102632,0,Not-in-family,Private,0,<=50K
Some-college,Female,40,White,21,Other-service,Never-married,10,199915,0,Own-child,Private,0,<=50K
Bachelors,Male,60,White,40,Exec-managerial,Married-civ-spouse,13,118853,0,Husband,Private,0,<=50K
Bachelors,Male,50,White,29,Prof-specialty,Married-civ-spouse,13,267989,0,Husband,State-gov,0,>50K
Some-college,Male,35,Black,19,Other-service,Never-married,10,301606,0,Own-child,Private,0,<=50K
Bachelors,Female,40,White,47,Exec-managerial,Married-civ-spouse,13,287828,0,Wife,Private,0,>50K
Some-college,Female,28,White,20,Adm-clerical,Never-married,10,111697,1719,Own-child,Private,0,<=50K
Assoc-acdm,Male,40,White,31,Adm-clerical,Married-civ-spouse,12,114937,0,Husband,Private,0,>50K
Some-college,Male,40,White,39,Craft-repair,Divorced,10,365739,0,Not-in-family,Private,0,<=50K
Assoc-acdm,Female,60,White,28,Sales,Never-married,12,69621,0,Not-in-family,Private,0,<=50K
HS-grad,Female,40,White,24,Other-service,Never-married,9,43323,1762,Not-in-family,Private,0,<=50K
HS-grad,Male,35,White,38,Craft-repair,Married-civ-spouse,9,120985,0,Husband,Self-emp-not-inc,4386,<=50K
Bachelors,Male,50,White,37,Sales,Married-civ-spouse,13,254202,0,Husband,Private,0,<=50K
Assoc-acdm,Female,36,Black,46,Tech-support,Divorced,12,146195,0,Not-in-family,Private,0,<=50K
HS-grad,Male,60,White,43,Craft-repair,Married-civ-spouse,9,56920,0,Husband,Self-emp-not-inc,0,<=50K
Assoc-voc,Female,35,White,27,Adm-clerical,Married-civ-spouse,11,163127,0,Wife,Private,0,<=50K
Some-college,Male,20,White,20,Sales,Never-married,10,34310,0,Own-child,Private,0,<=50K
Some-college,Male,40,Asian-Pac-Islander,49,Craft-repair,Married-civ-spouse,10,81973,0,Husband,Private,0,>50K
HS-grad,Male,40,White,61,Craft-repair,Married-civ-spouse,9,66614,0,Husband,Self-emp-inc,0,<=50K
Some-college,Female,40,White,27,Sales,Never-married,10,232782,0,Own-child,Private,0,<=50K
Assoc-voc,Female,40,White,45,Prof-specialty,Never-married,11,196584,1564,Not-in-family,Private,0,>50K
Some-college,Male,40,White,70,Tech-support,Never-married,10,105376,0,Other-relative,Private,0,<=50K
HS-grad,Female,30,Black,31,Transport-moving,Never-married,9,185814,0,Unmarried,Private,0,<=50K
Some-college,Male,24,White,22,Other-service,Married-civ-spouse,10,175374,0,Husband,Private,0,<=50K
HS-grad,Female,24,White,36,Other-service,Widowed,9,108293,0,Unmarried,Private,0,<=50K
11th,Male,40,White,64,Craft-repair,Married-civ-spouse,7,181232,2179,Husband,Private,0,<=50K
HS-grad,Female,40,White,34,Adm-clerical,Never-married,9,198183,0,Not-in-family,Private,0,<=50K
HS-grad,Male,35,White,21,Craft-repair,Never-married,9,296158,0,Own-child,Private,0,<=50K
HS-grad,Male,46,White,48,Craft-repair,Married-civ-spouse,9,187715,0,Husband,Private,0,<=50K
Bachelors,Male,40,White,23,Handlers-cleaners,Never-married,13,214542,0,Not-in-family,Private,0,<=50K
Some-college,Male,2,Black,71,Sales,Separated,10,494223,1816,Unmarried,Self-emp-not-inc,0,<=50K
HS-grad,Male,60,White,29,Craft-repair,Divorced,9,191535,0,Not-in-family,Private,0,<=50K
Bachelors,Male,50,Black,42,Other-service,Separated,13,228456,0,Other-relative,Private,0,<=50K
HS-grad,Female,40,White,25,Other-service,Never-married,9,252752,0,Unmarried,Private,0,<=50K
Masters,Female,40,Asian-Pac-Islander,44,Exec-managerial,Divorced,14,78374,0,Unmarried,Self-emp-inc,0,<=50K
Masters,Male,40,White,45,Sales,Married-civ-spouse,14,201080,0,Husband,Self-emp-not-inc,0,>50K
Assoc-acdm,Male,42,White,39,Exec-managerial,Never-married,12,235485,0,Not-in-family,Federal-gov,0,<=50K
Masters,Male,40,White,46,Protective-serv,Widowed,14,102628,0,Unmarried,State-gov,0,<=50K
11th,Male,16,White,18,Handlers-cleaners,Never-married,7,25828,0,Own-child,Private,0,<=50K
Assoc-voc,Female,20,White,66,Prof-specialty,Widowed,11,54826,0,Not-in-family,Local-gov,0,<=50K
HS-grad,Male,40,White,27,Other-service,Never-married,9,124953,1980,Not-in-family,Private,0,<=50K
HS-grad,Male,40,White,28,Protective-serv,Married-civ-spouse,9,175325,0,Husband,State-gov,0,<=50K
Some-college,Male,40,White,51,Sales,Married-civ-spouse,10,96062,1977,Husband,Private,0,>50K
Bachelors,Male,50,White,27,Craft-repair,Never-married,13,428030,0,Not-in-family,Private,0,<=50K
Bachelors,Male,40,White,28,Prof-specialty,Married-civ-spouse,13,149624,0,Husband,State-gov,0,>50K
HS-grad,Female,25,White,27,Sales,Married-spouse-absent,9,253814,0,Unmarried,Private,0,<=50K
HS-grad,Male,40,Black,21,Craft-repair,Never-married,9,312956,0,Own-child,Private,0,<=50K
HS-grad,Male,40,Black,34,Handlers-cleaners,Never-married,9,483777,0,Not-in-family,Private,0,<=50K
HS-grad,Male,12,White,18,Other-service,Never-married,9,183930,0,Own-child,Private,0,<=50K
Bachelors,Male,65,White,33,Prof-specialty,Married-civ-spouse,13,37274,0,Husband,Private,0,<=50K
Some-college,Male,38,Black,44,Exec-managerial,Married-civ-spouse,10,181344,0,Husband,Local-gov,0,>50K
Some-college,Female,40,White,43,Adm-clerical,Divorced,10,114580,0,Not-in-family,Private,0,<=50K
Some-college,Male,45,Black,30,Craft-repair,Never-married,10,633742,0,Not-in-family,Private,0,<=50K
Some-college,Male,42,White,37,Adm-clerical,Married-civ-spouse,10,29054,0,Husband,Federal-gov,0,>50K
HS-grad,Male,40,Black,34,Adm-clerical,Married-civ-spouse,9,304030,0,Husband,Private,0,<=50K
Bachelors,Female,40,White,41,Exec-managerial,Divorced,13,143129,0,Not-in-family,Self-emp-not-inc,0,<=50K
Masters,Female,50,White,31,Prof-specialty,Married-civ-spouse,14,99928,0,Wife,Private,0,<=50K
Doctorate,Male,1,White,58,Prof-specialty,Married-civ-spouse,16,109567,0,Husband,State-gov,0,>50K
Some-college,Female,28,Black,38,Machine-op-inspct,Divorced,10,155222,0,Not-in-family,Private,0,<=50K
Some-college,Male,40,White,24,Machine-op-inspct,Married-civ-spouse,10,159567,0,Husband,Private,0,<=50K
Bachelors,Male,40,Black,41,Craft-repair,Married-civ-spouse,13,523910,0,Husband,Local-gov,0,<=50K
Some-college,Male,45,White,47,Tech-support,Married-civ-spouse,10,120939,0,Husband,Private,0,<=50K
Bachelors,Male,24,White,41,Tech-support,Married-civ-spouse,13,130760,0,Husband,Federal-gov,0,<=50K
Some-college,Male,40,White,36,Craft-repair,Divorced,10,99374,0,Not-in-family,Private,0,<=50K
Masters,Female,55,White,40,Exec-managerial,Never-married,14,56795,0,Not-in-family,Federal-gov,14084,>50K
Masters,Male,40,White,35,Prof-specialty,Married-civ-spouse,14,138992,0,Other-relative,Private,7298,>50K
HS-grad,Male,40,White,24,Sales,Never-married,9,32921,0,Not-in-family,Self-emp-not-inc,0,<=50K
Masters,Female,40,White,26,Prof-specialty,Never-married,14,397317,1876,Not-in-family,Private,0,<=50K
Bachelors,Male,50,White,51,Exec-managerial,Married-civ-spouse,13,259323,0,Husband,Private,0,>50K
Some-college,Female,40,White,42,Prof-specialty,Never-married,10,254817,1340,Not-in-family,Local-gov,0,<=50K
HS-grad,Female,35,White,37,Adm-clerical,Divorced,9,48211,0,Unmarried,State-gov,0,<=50K
11th,Female,40,White,18,Sales,Never-married,7,140164,0,Own-child,Private,0,<=50K
Bachelors,Male,36,Black,36,Other-service,Married-civ-spouse,13,128757,0,Husband,Private,7298,>50K
HS-grad,Male,60,White,35,Craft-repair,Divorced,9,36270,0,Not-in-family,Private,0,<=50K
HS-grad,Female,35,White,58,Sales,Married-civ-spouse,9,210563,0,Wife,Self-emp-inc,15024,>50K
11th,Female,12,White,17,Sales,Never-married,7,65368,0,Own-child,Private,0,<=50K
HS-grad,Male,40,Black,44,Transport-moving,Married-civ-spouse,9,160943,0,Husband,Local-gov,0,<=50K
HS-grad,Male,40,White,37,Craft-repair,Married-civ-spouse,9,208358,0,Husband,Private,0,>50K
Some-college,Female,40,Amer-Indian-Eskimo,35,Sales,Never-married,10,153790,0,Not-in-family,Private,0,<=50K
HS-grad,Male,40,Asian-Pac-Islander,60,Craft-repair,Married-civ-spouse,9,85815,0,Husband,Private,0,<=50K
7th-8th,Male,40,White,54,Machine-op-inspct,Married-civ-spouse,4,125417,0,Husband,Self-emp-inc,0,>50K
Bachelors,Male,60,Black,37,Exec-managerial,Never-married,13,635913,0,Not-in-family,Private,0,>50K
