hours-per-week,capital-loss,capital-gain,sex,race,relationship,occupation,marital-status,education-num,education,fnlwgt,workclass,age,income
40,0,2174,Male,White,Not-in-family,Adm-clerical,Never-married,13,Bachelors,77516,State-gov,39,<=50K
13,0,0,Male,White,Husband,Exec-managerial,Married-civ-spouse,13,Bachelors,83311,Self-emp-not-inc,50,<=50K
40,0,0,Male,White,Not-in-family,Handlers-cleaners,Divorced,9,HS-grad,215646,Private,38,<=50K
40,0,0,Male,Black,Husband,Handlers-cleaners,Married-civ-spouse,7,11th,234721,Private,53,<=50K
40,0,0,Female,White,Wife,Exec-managerial,Married-civ-spouse,14,Masters,284582,Private,37,<=50K
45,0,0,Male,White,Husband,Exec-managerial,Married-civ-spouse,9,HS-grad,209642,Self-emp-not-inc,52,>50K
50,0,14084,Female,White,Not-in-family,Prof-specialty,Never-married,14,Masters,45781,Private,31,>50K
40,0,5178,Male,White,Husband,Exec-managerial,Married-civ-spouse,13,Bachelors,159449,Private,42,>50K
80,0,0,Male,Black,Husband,Exec-managerial,Married-civ-spouse,10,Some-college,280464,Private,37,>50K
30,0,0,Female,White,Own-child,Adm-clerical,Never-married,13,Bachelors,122272,Private,23,<=50K
50,0,0,Male,Black,Not-in-family,Sales,Never-married,12,Assoc-acdm,205019,Private,32,<=50K
35,0,0,Male,White,Own-child,Farming-fishing,Never-married,9,HS-grad,176756,Self-emp-not-inc,25,<=50K
40,0,0,Male,White,Unmarried,Machine-op-inspct,Never-married,9,HS-grad,186824,Private,32,<=50K
50,0,0,Male,White,Husband,Sales,Married-civ-spouse,7,11th,28887,Private,38,<=50K
45,0,0,Female,White,Unmarried,Exec-managerial,Divorced,14,Masters,292175,Self-emp-not-inc,43,>50K
60,0,0,Male,White,Husband,Prof-specialty,Married-civ-spouse,16,Doctorate,193524,Private,40,>50K
20,0,0,Female,Black,Unmarried,Other-service,Separated,9,HS-grad,302146,Private,54,<=50K
40,0,0,Male,Black,Husband,Farming-fishing,Married-civ-spouse,5,9th,76845,Federal-gov,35,<=50K
40,2042,0,Male,White,Husband,Transport-moving,Married-civ-spouse,7,11th,117037,Private,43,<=50K
40,0,0,Female,White,Unmarried,Tech-support,Divorced,9,HS-grad,109015,Private,59,<=50K
40,0,0,Male,White,Husband,Tech-support,Married-civ-spouse,13,Bachelors,216851,Local-gov,56,>50K
40,0,0,Male,White,Own-child,Craft-repair,Never-married,9,HS-grad,168294,Private,19,<=50K
80,0,0,Male,White,Not-in-family,Exec-managerial,Divorced,9,HS-grad,367260,Private,39,<=50K
40,0,0,Male,White,Husband,Craft-repair,Married-civ-spouse,9,HS-grad,193366,Private,49,<=50K
52,0,0,Male,White,Not-in-family,Protective-serv,Never-married,12,Assoc-acdm,190709,Local-gov,23,<=50K
44,0,0,Male,Black,Own-child,Sales,Never-married,10,Some-college,266015,Private,20,<=50K
40,1408,0,Male,White,Own-child,Exec-managerial,Divorced,13,Bachelors,386940,Private,45,<=50K
40,0,0,Male,White,Own-child,Adm-clerical,Married-civ-spouse,10,Some-college,59951,Federal-gov,30,<=50K
15,0,0,Male,Black,Husband,Other-service,Married-civ-spouse,10,Some-college,311512,State-gov,22,<=50K
40,0,0,Male,White,Own-child,Machine-op-inspct,Never-married,10,Some-college,197200,Private,21,<=50K
25,0,0,Female,White,Wife,Adm-clerical,Married-AF-spouse,9,HS-grad,544091,Private,19,<=50K
40,0,0,Male,White,Husband,Prof-specialty,Married-civ-spouse,12,Assoc-acdm,265477,Self-emp-not-inc,48,<=50K
43,0,0,Male,White,Husband,Machine-op-inspct,Married-civ-spouse,5,9th,507875,Private,31,<=50K
40,0,0,Male,White,Husband,Prof-specialty,Married-civ-spouse,13,Bachelors,88506,Self-emp-not-inc,53,<=50K
50,0,0,Male,White,Husband,Tech-support,Married-civ-spouse,13,Bachelors,172987,Private,24,<=50K
40,0,0,Female,White,Unmarried,Adm-clerical,Separated,9,HS-grad,94638,Private,49,<=50K
35,0,0,Male,White,Not-in-family,Handlers-cleaners,Never-married,9,HS-grad,289980,Private,25,<=50K
40,0,0,Male,Black,Husband,Prof-specialty,Married-civ-spouse,13,Bachelors,337895,Federal-gov,57,>50K
38,0,0,Male,White,Husband,Machine-op-inspct,Married-civ-spouse,9,HS-grad,144361,Private,53,<=50K
40,0,0,Female,White,Unmarried,Exec-managerial,Divorced,14,Masters,128354,Private,44,<=50K
40,0,0,Male,White,Husband,Craft-repair,Married-civ-spouse,11,Assoc-voc,101603,State-gov,41,<=50K
43,0,0,Male,White,Not-in-family,Prof-specialty,Never-married,11,Assoc-voc,271466,Private,29,<=50K
40,0,0,Female,Other,Wife,Exec-managerial,Married-civ-spouse,10,Some-college,32275,Private,25,<=50K
55,0,0,Male,White,Not-in-family,Exec-managerial,Divorced,13,Bachelors,251585,Federal-gov,50,>50K
60,0,0,Male,White,Not-in-family,Exec-managerial,Divorced,9,HS-grad,109832,Self-emp-inc,47,<=50K
40,0,0,Male,White,Husband,Tech-support,Married-civ-spouse,10,Some-college,237993,Private,43,>50K
48,0,0,Male,White,Husband,Adm-clerical,Married-civ-spouse,9,HS-grad,147372,Private,41,<=50K
40,0,5013,Male,White,Husband,Machine-op-inspct,Married-civ-spouse,9,HS-grad,188146,Private,30,<=50K
40,0,2407,Male,White,Husband,Sales,Married-civ-spouse,13,Bachelors,59496,Private,30,<=50K
40,0,0,Male,White,Husband,Transport-moving,Married-civ-spouse,9,HS-grad,149640,Private,48,<=50K
45,0,0,Male,White,Husband,Prof-specialty,Married-civ-spouse,16,Doctorate,116632,Private,42,>50K
58,0,0,Male,White,Not-in-family,Tech-support,Divorced,10,Some-college,105598,Private,29,<=50K
40,0,0,Male,White,Husband,Craft-repair,Married-civ-spouse,9,HS-grad,155537,Private,36,<=50K
40,0,0,Female,White,Not-in-family,Adm-clerical,Divorced,10,Some-college,183175,Private,28,<=50K
40,0,0,Female,White,Wife,Adm-clerical,Married-civ-spouse,9,HS-grad,169846,Private,53,>50K
50,0,0,Male,White,Husband,Exec-managerial,Married-civ-spouse,10,Some-college,191681,Self-emp-inc,49,>50K
32,0,0,Male,White,Own-child,Prof-specialty,Never-married,10,Some-college,101509,Private,19,<=50K
40,0,0,Female,Black,Own-child,Sales,Separated,13,Bachelors,309974,Private,31,<=50K
70,0,0,Male,White,Husband,Sales,Married-civ-spouse,13,Bachelors,162298,Self-emp-not-inc,29,>50K
40,0,0,Male,White,Not-in-family,Machine-op-inspct,Never-married,10,Some-college,211678,Private,23,<=50K
20,0,0,Male,White,Other-relative,Prof-specialty,Married-civ-spouse,10,Some-college,124744,Private,79,<=50K
40,0,0,Male,White,Husband,Adm-clerical,Married-civ-spouse,12,Assoc-acdm,32214,Private,40,<=50K
22,0,0,Female,White,Own-child,Other-service,Never-married,7,11th,309634,Private,18,<=50K
40,0,0,Male,White,Husband,Farming-fishing,Married-civ-spouse,4,7th-8th,125927,Local-gov,31,<=50K
30,0,0,Male,White,Not-in-family,Sales,Never-married,9,HS-grad,446839,Private,18,<=50K
40,0,0,Female,White,Wife,Other-service,Married-civ-spouse,9,HS-grad,51618,Private,46,<=50K
48,0,0,Male,White,Husband,Sales,Married-civ-spouse,9,HS-grad,159937,Private,59,<=50K
40,0,14344,Female,White,Not-in-family,Craft-repair,Divorced,9,HS-grad,343591,Private,44,>50K
35,0,0,Female,White,Own-child,Sales,Divorced,9,HS-grad,346253,Private,53,<=50K
40,0,0,Male,White,Husband,Protective-serv,Married-civ-spouse,9,HS-grad,268234,Local-gov,49,>50K
50,0,0,Male,White,Husband,Prof-specialty,Married-civ-spouse,14,Masters,202051,Private,33,<=50K
40,0,0,Male,White,Not-in-family,Sales,Never-married,5,9th,54334,Private,30,<=50K
50,0,0,Female,White,Not-in-family,Prof-specialty,Never-married,16,Doctorate,410867,Federal-gov,43,>50K
40,0,0,Male,White,Husband,Prof-specialty,Married-civ-spouse,11,Assoc-voc,249977,Private,57,<=50K
40,0,0,Female,White,Unmarried,Craft-repair,Divorced,10,Some-college,286730,Private,37,<=50K
25,0,0,Female,Black,Unmarried,Machine-op-inspct,Divorced,10,Some-college,212563,Private,28,<=50K
40,0,0,Male,White,Husband,Protective-serv,Married-civ-spouse,13,Bachelors,226296,Local-gov,34,>50K
50,0,0,Male,White,Not-in-family,Handlers-cleaners,Never-married,10,Some-college,115585,Local-gov,29,<=50K
60,1902,0,Male,White,Husband,Prof-specialty,Married-civ-spouse,16,Doctorate,191277,Self-emp-not-inc,48,>50K
48,0,0,Male,White,Husband,Sales,Married-civ-spouse,10,Some-college,202683,Private,37,>50K
40,0,0,Male,Black,Own-child,Other-service,Never-married,9,HS-grad,249409,Federal-gov,32,<=50K
40,0,0,Male,White,Husband,Exec-managerial,Married-civ-spouse,14,Masters,124191,Private,76,>50K
60,0,15024,Male,White,Husband,Exec-managerial,Married-civ-spouse,13,Bachelors,198282,Private,44,>50K
50,0,0,Female,White,Not-in-family,Prof-specialty,Never-married,14,Masters,149116,Self-emp-not-inc,47,<=50K
40,0,0,Female,White,Own-child,Tech-support,Never-married,10,Some-college,188300,Private,20,<=50K
40,0,0,Male,White,Not-in-family,Craft-repair,Never-married,9,HS-grad,103432,Private,29,<=50K
40,0,7688,Male,White,Husband,Craft-repair,Married-civ-spouse,9,HS-grad,317660,Self-emp-inc,32,>50K
40,0,0,Male,White,Own-child,Handlers-cleaners,Never-married,7,11th,194901,Private,30,<=50K
40,0,0,Female,White,Not-in-family,Adm-clerical,Never-married,9,HS-grad,189265,Local-gov,31,<=50K
40,0,0,Male,White,Husband,Handlers-cleaners,Married-civ-spouse,9,HS-grad,124692,Private,42,<=50K
40,0,0,Male,White,Other-relative,Sales,Never-married,13,Bachelors,432376,Private,24,<=50K
40,0,0,Male,White,Husband,Prof-specialty,Married-civ-spouse,15,Prof-school,65324,Private,38,>50K
