elevation,aspect,slope,hori_distance_hyd,vert_distance,hori_distance_road,hillshade_9am,hillshade_noon,hillshade_3pm,hori_distance_fire,wild_area,soil_type,cover_type
2590,56,2,212,-6,390,220,235,151,6225,0,28,5
2617,45,9,240,56,666,223,221,133,6244,0,28,5
2610,259,1,120,-1,607,216,239,161,6096,0,28,5
2511,54,8,124,0,638,225,222,130,5569,0,17,5
2522,105,7,120,1,595,233,231,130,5569,0,17,5
2749,98,30,124,53,3316,252,183,36,6005,0,29,5
2524,94,7,212,-4,684,232,229,130,5474,0,17,5
2510,79,14,192,19,891,237,215,106,5325,0,17,5
2952,107,11,42,7,5845,239,226,116,3509,0,28,2
2740,54,6,218,42,2287,224,227,138,6686,0,11,2
2827,160,28,134,65,3948,235,233,108,5474,0,29,2
2840,14,14,216,88,3552,206,210,140,5944,0,11,1
2788,13,16,30,8,4126,203,206,137,5396,0,28,2
2562,59,3,0,0,1116,221,233,148,5091,0,15,2
3067,32,4,30,-2,6679,219,230,147,2947,0,19,2
2751,88,5,400,30,2322,228,231,137,6088,0,11,2
3070,0,11,30,-6,6890,204,220,153,2858,0,28,2
2644,125,20,67,25,1719,249,221,90,5168,0,28,2
2942,346,12,30,3,5918,197,221,162,3900,0,23,1
2890,299,23,180,79,5104,150,224,212,4734,0,23,2
2926,289,24,210,99,5126,145,228,220,4814,0,23,1
2555,58,14,285,19,1231,230,209,109,4159,0,17,2
3083,257,4,510,-25,6363,209,242,171,2873,0,28,2
2658,357,20,300,54,1597,184,199,149,4286,0,28,2
2755,320,4,30,-1,2890,209,236,165,5468,0,11,2
2518,107,5,360,39,553,229,234,139,3522,0,17,2
3017,46,22,212,52,5118,221,188,92,2352,0,28,1
3162,43,15,484,144,4657,221,205,115,2188,0,28,1
2985,214,5,342,63,5495,215,245,166,3195,0,28,2
2972,36,25,30,0,5113,209,176,90,2816,0,28,1
3004,167,17,603,137,5798,232,244,137,4031,0,28,2
2991,54,13,495,65,4849,227,211,115,6214,0,11,2
2530,149,1,319,51,234,221,238,154,2726,0,28,2
3027,152,10,792,108,5316,233,240,138,5912,0,11,2
3011,85,5,842,85,5389,228,231,137,5975,0,11,2
3198,9,8,301,23,4099,211,224,150,3076,0,18,1
2942,0,3,0,0,4830,215,233,156,6062,0,19,2
2922,162,19,240,22,5076,235,241,129,4536,0,29,2
3201,331,5,0,0,4002,208,234,164,3460,0,19,1
2991,285,11,849,98,5939,189,240,191,6068,0,19,2
2919,232,8,323,19,5728,207,248,178,5539,0,28,2
3001,246,9,764,101,5961,201,247,184,6227,0,28,2
2668,41,17,283,68,1276,219,200,110,2240,0,29,2
3201,53,7,488,26,3667,224,225,135,4255,0,28,1
2932,237,16,342,36,5797,189,252,198,6409,0,28,1
3182,122,6,134,7,3510,230,235,138,4585,0,28,1
3136,185,10,42,4,3623,222,248,158,4858,0,28,1
3001,276,9,752,103,5893,197,242,184,6012,0,28,2
2938,127,9,408,107,2896,236,234,128,3239,0,11,2
2982,90,8,242,-35,3695,232,228,129,5609,0,19,1
2937,80,11,330,15,4094,234,221,118,4354,0,11,2
2800,185,9,170,22,2382,222,246,158,2001,0,11,2
2743,148,19,255,89,1590,242,235,114,883,0,29,5
3073,123,11,0,0,3060,239,231,121,5654,0,28,1
3064,194,10,30,4,3111,218,249,164,5721,0,19,1
2661,119,25,67,23,1380,253,210,70,663,0,29,5
3060,45,13,30,3,3046,223,211,120,5768,0,28,1
2654,71,11,0,0,1413,233,218,115,664,0,29,5
2676,9,14,30,2,1481,204,212,144,700,0,28,5
2991,282,8,268,32,5024,198,241,182,4582,0,28,1
2717,155,4,0,0,2037,224,240,150,1230,0,19,2
2715,203,5,124,-1,1920,217,245,164,1120,0,11,2
3080,180,1,247,39,2715,219,239,157,6347,0,28,1
2742,174,9,268,23,2455,226,245,152,1725,0,11,2
3047,155,9,424,85,2760,231,241,142,6661,0,28,1
3004,18,10,192,29,5232,212,219,143,3899,0,28,1
2909,0,3,350,5,4582,215,233,156,4985,0,18,2
2759,160,12,120,35,2782,233,242,139,2462,0,29,2
2953,120,13,134,3,4518,241,229,115,3297,0,28,2
2983,5,5,400,-6,3406,213,230,154,5600,0,19,2
2617,83,9,127,16,573,233,224,122,1290,0,11,2
2919,236,7,350,16,5470,208,246,176,3853,0,22,2
3001,238,9,592,92,5966,204,248,181,3379,0,28,2
2809,63,8,458,36,2251,228,223,128,2486,0,11,2
2995,62,14,362,5,3836,231,211,109,4795,0,28,2
2805,44,17,170,32,1902,222,200,108,2436,0,11,2
2863,193,6,390,62,2869,220,245,161,2577,0,11,2
2762,190,5,30,-3,1972,220,244,159,2647,0,29,2
3024,24,16,297,26,4116,210,204,127,4161,0,28,1
2992,228,6,458,79,4439,211,246,172,1919,0,11,2
2793,119,17,30,-2,2810,247,222,97,2274,0,28,5
3113,14,13,376,23,3684,207,213,141,4380,0,28,1
2954,156,10,301,79,4308,232,242,141,1657,0,11,2
2718,90,18,30,-2,2719,244,209,87,2207,0,28,5
2706,137,18,60,-1,2714,245,230,106,2185,0,28,5
2714,329,25,127,45,2207,153,202,184,2479,0,28,2
2964,84,19,124,32,4607,243,204,83,1434,0,28,2
3044,345,5,342,20,4119,209,231,160,3538,0,28,1
2769,107,11,95,12,1663,238,227,119,2869,0,28,2
2811,352,13,228,35,2145,198,218,158,2464,0,28,2
2810,42,14,300,64,1666,222,209,120,2620,0,28,2
2822,308,5,234,66,1758,205,237,171,2765,0,28,2
2958,39,25,351,134,4440,211,176,87,932,0,28,2
2720,36,17,30,0,1308,217,201,114,2255,0,22,5
2733,90,5,60,-1,1364,227,232,139,2315,0,22,5
2655,21,13,741,45,630,211,212,135,1652,0,28,2
2662,324,6,616,52,543,205,233,168,1765,0,28,2
2919,108,7,85,3,5022,232,232,133,1841,0,18,2
2690,40,11,495,-20,800,221,215,127,1820,0,11,2
3044,57,16,108,-5,4295,229,206,105,2589,0,28,2
2878,273,20,134,61,4085,164,241,215,738,0,28,2
2889,323,24,277,43,2605,152,208,191,2315,0,28,2
2744,118,18,42,13,1531,248,221,95,2334,0,11,2
2895,357,13,60,10,4236,198,215,154,514,0,28,1
2914,104,4,391,41,2989,226,234,143,1995,0,28,2
2925,82,5,424,51,3066,227,231,138,1948,0,28,2
2961,97,20,150,47,3636,248,206,77,1218,0,28,2
2750,60,4,0,0,2154,223,231,144,2976,0,19,2
2926,67,12,324,45,3055,232,217,116,2093,0,28,2
2780,357,14,85,13,2335,197,213,153,2952,0,22,2
3030,81,14,85,22,4414,238,215,106,408,0,29,1
2673,69,14,240,56,1084,234,211,106,553,0,28,2
2601,48,11,162,-18,1243,224,216,124,342,0,21,2
3001,17,6,323,43,3929,215,228,150,1371,0,28,2
3090,131,14,124,46,3270,242,231,115,2986,0,29,1
2780,96,5,582,21,1616,228,233,139,902,0,11,2
3025,194,15,342,112,5307,217,251,164,1396,0,28,2
2752,68,11,418,65,1684,232,218,118,626,0,11,2
2913,321,16,95,14,4784,178,223,184,1771,0,22,5
2924,270,10,134,11,5066,194,244,189,1652,0,28,5
2918,8,7,85,3,4731,212,226,152,1884,0,28,5
2841,96,5,295,57,2174,228,233,139,1558,0,11,2
2935,32,12,162,26,4981,217,214,131,1812,0,28,5
3168,203,6,700,60,5459,217,246,164,1140,0,28,2
3112,133,12,210,33,5128,239,234,122,999,0,28,2
2959,358,17,361,24,5143,192,207,151,1804,0,28,5
2948,79,15,120,24,5493,239,211,99,1608,0,29,1
2953,19,9,67,3,4651,214,222,144,2172,0,22,5
2683,98,18,67,14,1418,246,213,89,812,0,22,2
2952,27,5,67,0,4607,218,228,147,2315,0,22,5
3111,98,8,90,3,5369,234,228,126,808,0,28,2
2963,300,8,201,21,4867,199,237,178,2249,0,28,1
3031,234,11,295,94,5883,202,250,185,1774,0,28,1
2846,135,2,0,0,3056,222,238,152,2349,0,22,1
2976,87,8,210,31,4012,232,227,127,1920,0,22,2
3099,290,21,604,160,6120,156,232,214,1533,0,28,1
3083,357,20,127,39,4411,184,199,149,2843,0,28,1
2977,346,10,210,29,4012,200,223,162,2143,0,28,2
3167,15,7,408,29,5600,214,226,149,541,0,28,1
2959,239,8,30,1,5352,205,247,180,2353,0,22,2
2865,180,11,95,12,2876,224,247,154,2483,0,28,2
2975,108,1,30,0,5530,220,237,154,2287,0,22,1
3107,293,5,182,12,5568,205,239,173,1132,0,19,1
3008,117,3,30,2,5128,225,236,146,2644,0,28,2
3066,179,12,283,36,4918,225,247,153,1803,0,29,1
3042,274,8,201,17,5586,200,242,182,2036,0,21,2
2976,30,11,30,9,3863,216,215,133,2508,0,28,1
3079,57,8,0,0,5014,226,223,132,2140,0,22,1
3152,69,11,60,4,5490,232,218,116,2164,0,28,2
3168,250,18,430,98,5850,179,250,207,2285,0,29,2
3121,55,10,85,-1,4897,226,219,126,2617,0,28,2
3236,63,5,553,88,5863,225,229,139,2445,0,28,2
3033,45,7,175,25,2519,222,225,138,1057,0,22,1
3123,42,13,323,59,5042,222,212,123,2912,0,29,1
3145,42,18,384,80,4983,220,197,106,3022,0,29,1
2738,77,11,323,60,335,234,219,115,2396,0,28,5
2920,355,10,210,92,937,204,222,157,1967,0,23,2
2739,71,13,300,65,330,234,214,110,2264,0,28,5
3126,34,16,85,11,4354,216,203,118,3524,0,21,1
2708,67,16,95,37,120,234,207,100,2055,0,28,5
2850,61,20,577,176,603,232,196,88,2442,0,23,5
2747,62,21,268,79,285,233,193,83,2136,0,28,5
3108,56,5,30,2,5387,223,229,141,3260,0,22,2
2799,60,13,408,129,417,230,212,113,2160,0,28,5
2822,41,19,488,152,495,219,194,103,2190,0,28,5
3183,99,5,90,4,5472,228,233,140,2982,0,22,2
2745,58,24,212,78,240,229,183,74,1800,0,28,5
2740,59,23,190,68,212,230,184,75,1761,0,28,5
2711,69,25,120,36,150,237,182,62,1655,0,28,5
2799,52,29,300,127,323,220,164,59,1812,0,28,5
3202,48,22,153,32,4161,222,187,89,3263,0,28,1
2865,85,15,400,193,430,240,213,99,1863,0,28,5
2788,61,26,180,105,210,231,178,65,1572,0,28,5
2960,59,4,90,0,1230,223,231,143,2084,0,22,2
3192,102,7,319,73,5206,232,231,132,2519,0,21,2
3197,247,5,324,47,5873,209,244,173,2382,0,21,1
3245,45,3,564,66,4387,220,233,150,2650,0,21,1
2957,123,10,150,-8,1337,237,233,126,2135,0,21,2
3175,48,6,446,80,4978,223,227,140,2103,0,28,1
3164,88,19,361,102,3878,245,205,82,849,0,28,2
3042,56,10,42,-2,3443,227,218,124,408,0,19,1
3185,32,3,0,0,5165,219,232,150,1919,0,22,1
3040,277,10,218,48,2607,192,242,189,882,0,28,1
2927,51,16,258,34,741,226,205,108,1900,0,28,2
2768,57,22,170,75,175,229,187,80,1288,0,28,5
2826,71,25,300,135,309,238,184,63,1422,0,29,5
2785,35,17,190,127,201,216,201,116,1323,0,28,5
2799,27,11,212,151,218,216,216,136,1357,0,28,5
2773,80,48,124,112,134,226,107,0,1298,0,29,5
3221,219,3,256,25,6006,216,243,164,1622,0,21,1
2842,62,28,309,187,323,231,172,55,1490,0,29,5
